Code,Category,Item,Price
1,Veg Shawarma,Classic Paneer Shawarma (6 Inches),100
1,Veg Shawarma,Classic Paneer Shawarma (8 Inches),145
2,Veg Shawarma,Lebanese Paneer Shawarma (6 Inches),120
2,Veg Shawarma,Lebanese Paneer Shawarma (8 Inches),145
3,Veg Shawarma,Peri Peri Paneer Shawarma(6 Inches),120
3,Veg Shawarma,Peri Peri Paneer Shawarma(8 Inches),145
4,Veg Shawarma,Tandoori Paneer Shawarma(6 Inches),120
4,Veg Shawarma,Tandoori Paneer Shawarma(8 Inches),145
5,Veg Shawarma,BBQ Paneer Shawarma(6 Inches),120
5,Veg Shawarma,BBQ Paneer Shawarma(8 Inches),145
6,Veg Shawarma,Falafel Shawarma(6 Inches),110
6,Veg Shawarma,Falafel Shawarma(8 Inches),150
7,Veg Shawarma,Aloo Tikki Shawarma(6 Inches),100
7,Veg Shawarma,Aloo Tikki Shawarma(8 Inches),145
8,Veg Shawarma,Overseas Paneer Shawarma(6 Inches),130
8,Veg Shawarma,Overseas Paneer Shawarma(8 Inches),160
9,Veg Shawarma,Cheese Burst Shawarma(6 Inches),140
9,Veg Shawarma,Cheese Burst Shawarma(8 Inches),170
10,Non Veg Shawarma,Classic Chicken Shawarma (6 Inches),100
10,Non Veg Shawarma,Classic Chicken Shawarma (8 Inches),145
11,Non Veg Shawarma,Lebanese Chicken Shawarma (6 Inches),120
11,Non Veg Shawarma,Lebanese Chicken Shawarma (8 Inches),155
12,Non Veg Shawarma,Peri Peri Chicken Shawarma(6 Inches),120
12,Non Veg Shawarma,Peri Peri Chicken Shawarma(8 Inches),155
13,Non Veg Shawarma,Tandoori Chicken Shawarma(6 Inches),120
13,Non Veg Shawarma,Tandoori Chicken Shawarma(8 Inches),155
14,Non Veg Shawarma,BBQ Chicken Shawarma(6 Inches),120
14,Non Veg Shawarma,BBQ Chicken Shawarma(8 Inches),155
15,Non Veg Shawarma,Butter Chicken Shawarma(6 Inches),130
15,Non Veg Shawarma,Butter Chicken Shawarma(8 Inches),160
16,Non Veg Shawarma,Chingari Chicken Shawarma(6 Inches),110
16,Non Veg Shawarma,Chingari Chicken Shawarma(8 Inches),150
17,Non Veg Shawarma,Chicken Tikka Shawarma(6 Inches),130
17,Non Veg Shawarma,Chicken Tikka Shawarma(8 Inches),160
18,Non Veg Shawarma,Overseas Chicken Shawarma(6 Inches),130
18,Non Veg Shawarma,Overseas Chicken Shawarma(8 Inches),160
19,Non Veg Shawarma,Cheese Burst Chicken Shawarma(6 Inches),140
19,Non Veg Shawarma,Cheese Burst Chicken Shawarma(8 Inches),170
20,Non Veg Shawarma,Egg N' Spread Shawarma(6 Inches),120
20,Non Veg Shawarma,Egg N' Spread Shawarma(8 Inches),155
21,Non Veg Shawarma,Double Hunger Chicken Shawarma(6 Inches),140
21,Non Veg Shawarma,Double Hunger Chicken Shawarma(8 Inches),170
22,Non Veg Shawarma,Chicken Nuggets Shawarma(6 Inches),140
22,Non Veg Shawarma,Chicken Nuggets Shawarma(8 Inches),170
23,Non Veg Shawarma,Chicken Crispy Shawarma(6 Inches),140
23,Non Veg Shawarma,Chicken Crispy Shawarma(8 Inches),170
24,Non Veg Shawarma,Maharaja Chicken Shawarma(6 Inches),200
25,Platters,Chicken Hummus Platter,220
26,Platters,Chicken Tandoori Tikka Platter,250
27,Platters,Falafel Hummus Platter,220
28,Dessert,Kulfi,30
29,Dessert,Custard,45
30,Open Veg Shawarma,Classic Paneer Open Shawarma,170
31,Open Veg Shawarma,Peri Peri Paneer Open Shawarma,180
32,Open Veg Shawarma,Paneer Cheese Burst Open Shawarma,190
33,Open Veg Shawarma,Falafel Open Shawarma,200
34,Open Veg Shawarma,Aloo Tikki Open Shawarma,210
35,Open Non Veg Shawarma,Classic Chicken Open Shawarma,190
