Date,Day,Quantity,Total,Profit,Category
01-10-2023,Sunday,147,16770,2564,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Coolers, Frappes, Beverages"
02-10-2023,Monday,125,11740,1052,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Non Veg Salad, Extras, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
03-10-2023,Tuesday,112,10215,985,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Veg Grillers, Veg Rice Bowl, Coolers, Frappes, Beverages"
04-10-2023,Wednesday,128,13525,1354,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Frappes, Beverages"
05-10-2023,Thursday,104,13510,989,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Veg Momos, Non Veg Momos, Veg Grillers, Coolers, Frappes, Beverages"
06-10-2023,Friday,115,15295,2541,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma,  Veg Salad, Non Veg Salad, Fries, Extras, Non Veg Momos, Veg Grillers, Coolers, Beverages"
07-10-2023,Saturday,126,89255,1569,"Veg Shawarma, Non Veg Shawarma, Platters, Open Veg Shawarma, Non Veg Salad, Fries, Extras, Non Veg Momos, Coolers, Frappes, Beverages"
08-10-2023,Sunday,132,16480,3547,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Non Veg Shawarma, Non Veg Salad, Extras, Non Veg Momos, Veg Grillers, Non Veg Rice Bowl, Frappes, Beverages"
09-10-2023,Monday,113,11510,2549,"Veg Shawarma, Non Veg Shawarma, Platters, Desserts, Open Veg Shawarma, Non Veg Salad, Fries, Veg Momos, Veg Rice Bowl, Frappes, Beverages"
10-10-2023,Tuesday,112,10215,1365,"Veg Shawarma, Non Veg Shawarma, Desserts, Open Veg Shawarma, Veg Salad, Fries, Extras, Veg Momos, Coolers, Frappes, Beverages"
11-10-2023,Wednesday,125,13520,2568,"Non Veg Shawarma, Platters, Open Non Veg Shawarma, Veg Salad, Non Veg Salad, Fries, Veg Momos, Non Veg Momos, Non Veg Grillers, Coolers, Frappes, Beverages"
